ID;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators
152;Кантемировская, вход-выход 2 в южный вестибюль;37.6576959;55.6350525;Кантемировская;Замоскворецкая линия;3;3;
149;Кантемировская, вход-выход 2 в северный вестибюль;37.6553567;55.6367212;Кантемировская;Замоскворецкая линия;3;3;
377;Каховская, вход-выход 4 в южный вестибюль;37.5964667;55.6528887;Каховская;Каховская линия;5;5;
284;Калужская, вход-выход 4 в северный вестибюль;37.5418665;55.6578591;Калужская;Калужско-Рижская линия;3;3;
150;Кантемировская, вход-выход 3 в северный вестибюль;37.656097;55.636917;Кантемировская;Замоскворецкая линия;3;3;
448;Братиславская, вход-выход 3 в северный вестибюль;37.7521499;55.6599107;Братиславская;Люблинско-Дмитровская линия;2;2;
791;Беговая, вход-выход 2 во 2-й вестибюль;37.54459;55.7733859;Беговая;Таганско-Краснопресненская линия;4;4;
790;Беговая, вход-выход 1 во 2-й вестибюль;37.5446657;55774;Беговая;Таганско-Краснопресненская линия;4;4;
792;Беговая, вход-выход 1 в 1-й вестибюль;37.5488844;55.7732229;Беговая;Таганско-Краснопресненская линия;2;2;
794;Беговая, вход-выход 3 в 1-й вестибюль;37.549137;55.774375;Беговая;Таганско-Краснопресненская линия;2;2;
394;Белорусская, вход в западный вестибюль;37.5826448;55.7753945;Белорусская;Кольцевая линия;7;7;
129;Белорусская, вход в вестибюль;37.5820187;55.7772182;Белорусская;Замоскворецкая линия;7;7;
396;Белорусская, вход-выход 1 в восточный (новый) вестибюль;37.585696;55.777448;Белорусская;Кольцевая линия;7;7;
267;Беляево, вход-выход 1 в южный вестибюль;37.5253262;55.6418619;Беляево;Калужско-Рижская линия;4;4;
269;Беляево, вход-выход 3 в южный вестибюль;37.5258676;55.6415467;Беляево;Калужско-Рижская линия;4;4;
271;Беляево, вход-выход 1 в северный вестибюль;37.5267264;55.643846;Беляево;Калужско-Рижская линия;5;5;
142;Каширская, вход в южный вестибюль;37.6478561;55.6544846;Каширская;Замоскворецкая линия;4;4;
145;Каширская, вход в северный вестибюль;37.649519;55.655628;Каширская;Замоскворецкая линия;4;4;
57;Киевская, выход 1 из вестибюля к пригородным поездам;37.564427;55.742922;Киевская;Арбатско-Покровская линия;;;
59;Киевская, выход 2 из вестибюля на площадь;37.565065;55.743152;Киевская;Арбатско-Покровская линия;;;
400;Киевская, вход-выход 1 в вестибюль;37.567119;55.743792;Киевская;Кольцевая линия;5;5;
401;Киевская, вход-выход 2 в вестибюль;37.56757;55.743743;Киевская;Кольцевая линия;5;5;
324;Китай-город, вход-выход 1 в северный вестибюль;37.6301157;55.7562297;Китай-город;Калужско-Рижская линия;4;4;
328;Китай-город, вход-выход 5 в северный вестибюль;37.6306312;55.7569941;Китай-город;Калужско-Рижская линия;4;4;
279;Калужская, вход-выход 5 в южный вестибюль;37.5384065;55.6556897;Калужская;Калужско-Рижская линия;4;4;
275;Калужская, вход-выход 1 в южный вестибюль;37.5393716;55.6565991;Калужская;Калужско-Рижская линия;4;4;
376;Каховская, вход-выход 3 в южный вестибюль;37.5969816;55.6530037;Каховская;Каховская линия;5;5;
375;Каховская, вход-выход 2 в южный вестибюль;37.5967073;55.6524548;Каховская;Каховская линия;5;5;
374;Каховская, вход-выход 1 в южный вестибюль;37.597159;55.6525546;Каховская;Каховская линия;5;5;
379;Каховская, вход-выход 2 в северный вестибюль;37.5997069;55.6534068;Каховская;Каховская линия;2;2;
381;Каховская, вход-выход 4 в северный вестибюль;37.5998679;55.6529558;Каховская;Каховская линия;2;2;
380;Каховская, вход-выход 3 в северный вестибюль;37.6001946;55.653416;Каховская;Каховская линия;2;2;
378;Каховская, вход-выход 1 в северный вестибюль;37.6003877;55.6529588;Каховская;Каховская линия;2;2;
103;Водный стадион, вход в южный вестибюль;37.487262;55.839091;Водный стадион;Замоскворецкая линия;3;3;
106;Войковская, вход-выход 2 в северный вестибюль;37.4966084;55.8198862;Войковская;Замоскворецкая линия;5;5;
107;Войковская, вход-выход 3 в северный вестибюль;37.4978475;55.8200536;Войковская;Замоскворецкая линия;5;5;
594;Владыкино, вход в северный вестибюль;37.5903673;55.8483448;Владыкино;Серпуховско-Тимирязевская линия;4;4;
101;Водный стадион, вход в северный вестибюль;37.4861169;55.8405471;Водный стадион;Замоскворецкая линия;5;5;
110;Войковская, вход-выход 3 в южный вестибюль;37.4980328;55.8180816;Войковская;Замоскворецкая линия;5;5;
109;Войковская, вход-выход 2 в южный вестибюль;37.4990514;55.8183579;Войковская;Замоскворецкая линия;5;5;
108;Войковская, вход-выход 1 в южный вестибюль;37.4995989;55.8178071;Войковская;Замоскворецкая линия;5;5;
761;Волгоградский проспект, вход-выход 1 в восточный вестибюль;37.685034;55.7256857;Волгоградский проспект;Таганско-Краснопресненская линия;5;5;
456;Волжская, вход-выход 2 в южный вестибюль;37.7564272;55.6907047;Волжская;Люблинско-Дмитровская линия;5;5;
17;Волоколамская, вход в северный вестибюль;37.381439;55.836391;Волоколамская;Арбатско-Покровская линия;3;3;
19;Волоколамская, вход в южный вестибюль;37.383293;55.834667;Волоколамская;Арбатско-Покровская линия;3;3;
637;Воробьёвы горы, вход-выход 1 в южный вестибюль;37.5579244;55.7090889;Воробьёвы горы;Сокольническая линия;4;4;17.07.2018-05.09.2018
639;Воробьёвы горы, вход 1 в северный вестибюль;37.5616417;55.7117344;Воробьёвы горы;Сокольническая линия;6;6;
641;Воробьёвы горы, вход 2 в северный вестибюль;37.5611434;55.7119958;Воробьёвы горы;Сокольническая линия;6;6;
638;Воробьёвы горы, вход-выход 2 в южный вестибюль;37.5573612;55.7091802;Воробьёвы горы;Сокольническая линия;4;4;
871;Выставочная, вход-выход 2 в вестибюль со стороны моста Багратион;37.5440139;55.7483761;Выставочная;Филёвская линия;2;2;
872;Выставочная, вход 1 в вестибюль со стороны Экспоцентра;37.542609;55.750243;Выставочная;Филёвская линия;6;6;02.04.2018-17.05.2018
751;Выхино, вход-выход 1 в вестибюль;37.8191351;55.7158154;Выхино;Таганско-Краснопресненская линия;13;13;
756;Выхино, вход-выход 6 в вестибюль;37.8176759;55.7157276;Выхино;Таганско-Краснопресненская линия;13;13;
493;Выставочный центр, вход-выход в вестибюль;37.6386606;55.8242068;Выставочный центр;Московская монорельсовая транспортная система;2;2;
125;Динамо, вход в северный вестибюль;37.556447;55.790523;Динамо;Замоскворецкая линия;5;5;
127;Динамо, вход в южный вестибюль;37.559939;55.7889852;Динамо;Замоскворецкая линия;5;5;
582;Дмитровская, вход-выход 1 в вестибюль;37.580249;55.807873;Дмитровская;Серпуховско-Тимирязевская линия;9;9;
584;Дмитровская, вход-выход 3 в вестибюль;37.5814213;55.8080919;Дмитровская;Серпуховско-Тимирязевская линия;9;9;
398;Добрынинская, вход в вестибюль;37.6227295;55.7290528;Добрынинская;Кольцевая линия;4;4;
182;Домодедовская, вход-выход 7 в северный вестибюль;37.716543;55.610926;Домодедовская;Замоскворецкая линия;6;6;
273;Беляево, вход-выход 3 в северный вестибюль;37.5272194;55.6434915;Беляево;Калужско-Рижская линия;5;5;
603;Бибирево, вход-выход 2 в южный вестибюль;37.6046466;55.884046;Бибирево;Серпуховско-Тимирязевская линия;6;6;
606;Бибирево, вход-выход 1 в северный вестибюль;37.601567;55.884215;Бибирево;Серпуховско-Тимирязевская линия;6;6;
604;Бибирево, вход-выход 3 в южный вестибюль;37.605269;55.88357;Бибирево;Серпуховско-Тимирязевская линия;6;6;
855;Александровский сад, вход-выход в вестибюль (Воздвиженка);37.6086853;55.7522884;Александровский сад;Филёвская линия;3;3;
433;Борисово, вход-выход в южный вестибюль;37.7434206;55.6323743;Борисово;Люблинско-Дмитровская линия;1;2;
434;Борисово, вход-выход в северный вестибюль;37.7445891;55.6340555;Борисово;Люблинско-Дмитровская линия;1;2;
356;Ботанический сад, вход-выход 1 в северный вестибюль;37.638487;55.8459341;Ботанический сад;Калужско-Рижская линия;4;4;
382;Варшавская, вход-выход 1 в южный вестибюль;37.6179177;55.6535532;Варшавская;Каховская линия;3;3;
387;Варшавская, вход-выход 4 в северный вестибюль;37.6230912;55.6536989;Варшавская;Каховская линия;4;4;27.04.2018-31.05.2018
352;ВДНХ, вход в северный вестибюль;37.6413856;55.8224642;ВДНХ;Калужско-Рижская линия;;;
351;ВДНХ, вход-выход 4 в южный вестибюль;37.6407422;55.8196763;ВДНХ;Калужско-Рижская линия;10;10;
349;ВДНХ, вход-выход 2 в южный вестибюль;37.6396426;55.8200023;ВДНХ;Калужско-Рижская линия;10;10;
349;ВДНХ, вход-выход 2 в южный вестибюль;37.6396426;55.8200023;ВДНХ;Калужско-Рижская линия;10;10;
357;Ботанический сад, вход-выход 2 в северный вестибюль;37.6389383;55.8466671;Ботанический сад;Калужско-Рижская линия;4;4;
354;Ботанический сад, вход в южный вестибюль;37.6373929;55.8439021;Ботанический сад;Калужско-Рижская линия;3;3;
348;ВДНХ, вход-выход 1 в южный вестибюль;37.639943;55.82028;ВДНХ;Калужско-Рижская линия;10;10;
592;Владыкино, вход в южный вестибюль;37.5892624;55.8460848;Владыкино;Серпуховско-Тимирязевская линия;5;5;
763;Волгоградский проспект, вход-выход 2 в восточный вестибюль;37.687808;55.724604;Волгоградский проспект;Таганско-Краснопресненская линия;4;4;
458;Волжская, вход-выход 2 в северный вестибюль;37.7511401;55.6911954;Волжская;Люблинско-Дмитровская линия;3;3;
458;Волжская, вход-выход 2 в северный вестибюль;37.7511401;55.6911954;Волжская;Люблинско-Дмитровская линия;3;3;
177;Домодедовская, вход-выход 2 в северный вестибюль;37.71815;55.610256;Домодедовская;Замоскворецкая линия;6;6;
350;ВДНХ, вход-выход 3 в южный вестибюль;37.641058;55.819972;ВДНХ;Калужско-Рижская линия;10;10;
457;Волжская, вход-выход 1 в северный вестибюль;37.7515886;55.6910781;Волжская;Люблинско-Дмитровская линия;3;3;
455;Волжская, вход-выход 1 в южный вестибюль;37.7552393;55.690745;Волжская;Люблинско-Дмитровская линия;5;5;
180;Домодедовская, вход-выход 5 в северный вестибюль;37.716894;55.610249;Домодедовская;Замоскворецкая линия;6;6;
178;Домодедовская, вход-выход 3 в северный вестибюль;37.7175836;55.6099729;Домодедовская;Замоскворецкая линия;6;6;
185;Домодедовская, вход-выход 2 в южный вестибюль;37.720888;55.610893;Домодедовская;Замоскворецкая линия;6;6;
583;Дмитровская, вход-выход 2 в вестибюль;37.580614;55.807779;Дмитровская;Серпуховско-Тимирязевская линия;9;9;
585;Дмитровская, вход-выход 4 в вестибюль;37.5818692;55.8081488;Дмитровская;Серпуховско-Тимирязевская линия;9;9;
465;Дубровка, вход-выход 1 в вестибюль;37.6762283;55.7178288;Дубровка;Люблинско-Дмитровская линия;5;5;
427;Зябликово, вход-выход 2 в северный вестибюль;37.745559;55.6134881;Зябликово;Люблинско-Дмитровская линия;6;2;
426;Зябликово, вход-выход 1 в северный вестибюль;37.744236;55.6133905;Зябликово;Люблинско-Дмитровская линия;6;2;
75;Измайловская, вход-выход 1 в западный вестибюль;37.7798923;55.7877899;Измайловская;Арбатско-Покровская линия;1;1;
77;Измайловская, вход-выход 1 в восточный вестибюль;37.7833622;55.7878638;Измайловская;Арбатско-Покровская линия;2;2;
264;Коньково, вход-выход 4 в северный вестибюль;37.5189922;55.6343754;Коньково;Калужско-Рижская линия;4;4;
258;Коньково, вход-выход 2 в южный вестибюль;37.519367;55.632188;Коньково;Калужско-Рижская линия;4;4;
265;Коньково, вход-выход 5 в северный вестибюль;37.5197964;55.6346877;Коньково;Калужско-Рижская линия;4;4;
262;Коньково, вход-выход 2 в северный вестибюль;37.5199465;55.6340114;Коньково;Калужско-Рижская линия;4;4;
261;Коньково, вход-выход 1 в северный вестибюль;37.5205105;55.6339138;Коньково;Калужско-Рижская линия;4;4;
191;Красногвардейская, вход-выход 1 в южный вестибюль;37.746215;55.6142123;Красногвардейская;Замоскворецкая линия;6;6;
193;Красногвардейская, вход-выход 3 в южный вестибюль;37.7462738;55.6136532;Красногвардейская;Замоскворецкая линия;6;6;
190;Красногвардейская, вход-выход 4 в северный вестибюль;37.7466762;55.6136652;Красногвардейская;Замоскворецкая линия;5;5;
192;Красногвардейская, вход-выход 2 в южный вестибюль;37.7465907;55.6142302;Красногвардейская;Замоскворецкая линия;6;6;
189;Красногвардейская, вход-выход 3 в северный вестибюль;37.7424333;55.6134561;Красногвардейская;Замоскворецкая линия;5;5;
173;Орехово, вход-выход 2 в северный вестибюль;37.6935179;55.6138351;Орехово;Замоскворецкая линия;4;4;
172;Орехово, вход-выход 1 в северный вестибюль;37.6940766;55.6141812;Орехово;Замоскворецкая линия;4;4;
599;Отрадное, вход-выход 4 в южный вестибюль;37.604393;55.862542;Отрадное;Серпуховско-Тимирязевская линия;4;4;
601;Отрадное, вход-выход 2 в северный вестибюль;37.605332;55.864331;Отрадное;Серпуховско-Тимирязевская линия;5;5;
600;Отрадное, вход-выход 1 в северный вестибюль;37.606024;55.864174;Отрадное;Серпуховско-Тимирязевская линия;5;5;
596;Отрадное, вход-выход 1 в южный вестибюль;37.6038026;55.8627468;Отрадное;Серпуховско-Тимирязевская линия;4;4;
663;Охотный ряд, вход-выход 6 в южный вестибюль;37.6145304;55.7569836;Охотный ряд;Сокольническая линия;3;3;
662;Охотный ряд, вход-выход 5 в южный вестибюль;37.6146643;55.7567501;Охотный ряд;Сокольническая линия;3;3;
188;Красногвардейская, вход-выход 2 в северный вестибюль;37.7428056;55.6140271;Красногвардейская;Замоскворецкая линия;5;5;
194;Красногвардейская, вход-выход 4 в южный вестибюль;37.7429054;55.6134786;Красногвардейская;Замоскворецкая линия;6;6;
187;Красногвардейская, вход-выход 1 в северный вестибюль;37.7423932;55.6140076;Красногвардейская;Замоскворецкая линия;5;5;
411;Краснопресненская, вход в вестибюль;37.5769378;55.7602928;Краснопресненская;Кольцевая линия;4;4;
690;Красносельская, вход-выход в вестибюль;37.6660804;55.7799823;Красносельская;Сокольническая линия;4;4;
682;Красные ворота, вход в южный вестибюль;37.648027;55.768377;Красные ворота;Сокольническая линия;5;5;
684;Красные ворота, вход в северный вестибюль;37.6503572;55.7697611;Красные ворота;Сокольническая линия;2;2;
467;Крестьянская застава, вход-выход в вестибюль;37.6655383;55.7323251;Крестьянская застава;Люблинско-Дмитровская линия;3;3;
650;Кропоткинская, вход-выход 1 в северный вестибюль;37.6053316;55.7456522;Кропоткинская;Сокольническая линия;4;4;
650;Кропоткинская, вход-выход 1 в северный вестибюль;37.6053316;55.7456522;Кропоткинская;Сокольническая линия;4;4;
649;Кропоткинская, вход в южный вестибюль;37.6015583;55.7449791;Кропоткинская;Сокольническая линия;4;4;
32;Крылатское, вход-выход 2 в западный вестибюль;37.407313;55.757872;Крылатское;Арбатско-Покровская линия;5;5;
36;Крылатское, вход-выход 2 в восточный вестибюль;37.407657;55.755564;Крылатское;Арбатско-Покровская линия;5;5;
37;Крылатское, вход-выход 3 в восточный вестибюль;37.408601;55.755375;Крылатское;Арбатско-Покровская линия;5;5;
33;Крылатское, вход-выход 3 в западный вестибюль;37.408585;55.757724;Крылатское;Арбатско-Покровская линия;5;5;
31;Крылатское, вход-выход 1 в западный вестибюль;37.40738;55.757423;Крылатское;Арбатско-Покровская линия;5;5;
34;Крылатское, вход-выход 4 в западный вестибюль;37.408542;55.758057;Крылатское;Арбатско-Покровская линия;5;5;
38;Крылатское, вход-выход 4 в восточный вестибюль;37.408899;55.755663;Крылатское;Арбатско-Покровская линия;5;5;
35;Крылатское, вход-выход 1 в восточный вестибюль;37.407686;55.755342;Крылатское;Арбатско-Покровская линия;5;5;
288;Новые Черёмушки, вход-выход 1 в северный вестибюль;37.555321;55.671235;Новые Черёмушки;Калужско-Рижская линия;4;4;
390;Октябрьская, вход 1 в вестибюль кольцевой линии;37.611311;55.729349;Октябрьская;Кольцевая линия;2;2;
314;Октябрьская, вход 1 в вестибюль;37.6126133;55.7313189;Октябрьская;Калужско-Рижская линия;2;2;10.05.2018-31.05.2018
803;Октябрьское поле, вход-выход 1 во 2-й вестибюль;37.4922446;55.7939801;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
804;Октябрьское поле, вход-выход 2 во 2-й вестибюль;37.4919278;55.7941438;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
806;Октябрьское поле, вход-выход 4 во 2-й вестибюль;37.4925294;55.7941853;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
805;Октябрьское поле, вход-выход 3 во 2-й вестибюль;37.4922657;55.7943253;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
290;Новые Черёмушки, вход-выход 3 в северный вестибюль;37.55586;55.671056;Новые Черёмушки;Калужско-Рижская линия;4;4;
809;Октябрьское поле, вход-выход 3 в 1-й вестибюль;37.4944062;55.7928291;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
319;Китай-город, вход-выход 3 в южный вестибюль;37.635443;55.753755;Китай-город;Калужско-Рижская линия;4;4;
464;Кожуховская, вход-выход 2 из вестибюля;37.6853525;55.7062422;Кожуховская;Люблинско-Дмитровская линия;;;
463;Кожуховская, вход-выход 1 в вестибюль;37.685589;55.7064123;Кожуховская;Люблинско-Дмитровская линия;3;3;
158;Коломенская, вход-выход 1 в южный вестибюль;37.6627956;55.676834;Коломенская;Замоскворецкая линия;5;5;
160;Коломенская, вход-выход 3 в южный вестибюль;37.6630158;55.6776867;Коломенская;Замоскворецкая линия;5;5;
162;Коломенская, вход-выход 1 в северный вестибюль;37.6634124;55.679302;Коломенская;Замоскворецкая линия;5;5;
159;Коломенская, вход-выход 2 в южный вестибюль;37.6643994;55.676747;Коломенская;Замоскворецкая линия;5;5;
161;Коломенская, вход-выход 4 в южный вестибюль;37.6645394;55.6776258;Коломенская;Замоскворецкая линия;5;5;
165;Коломенская, вход-выход 4 в северный вестибюль;37.664952;55.679487;Коломенская;Замоскворецкая линия;5;5;
163;Коломенская, вход-выход 2 в северный вестибюль;37.664904;55.679214;Коломенская;Замоскворецкая линия;5;5;
164;Коломенская, вход-выход 3 в северный вестибюль;37.6634398;55.6795598;Коломенская;Замоскворецкая линия;5;5;
404;Комсомольская, вход 2 в вестибюль;37.655289;55.775717;Комсомольская;Кольцевая линия;8;8;02.04.2018-24.05.2018
408;Комсомольская, вход 5 в вестибюль;37.6558575;55.7753031;Комсомольская;Кольцевая линия;8;8;02.04.2018-24.05.2018
409;Комсомольская, вход 6 в вестибюль;37.6563189;55.7749342;Комсомольская;Кольцевая линия;8;8;02.04.2018-24.05.2018
403;Комсомольская, выход 1 из вестибюля;37.655917;55.77673;Комсомольская;Кольцевая линия;;;02.04.2018-24.05.2018
407;Комсомольская, вход 4 в вестибюль;37.656078;55.7755021;Комсомольская;Кольцевая линия;8;8;02.04.2018-24.05.2018
406;Комсомольская, вход 3 в вестибюль;37.655895;55.775835;Комсомольская;Кольцевая линия;8;8;02.04.2018-24.05.2018
259;Коньково, вход-выход 3 в южный вестибюль;37.5180365;55.6325183;Коньково;Калужско-Рижская линия;4;4;
388;Новослободская, вход в вестибюль;37.601021;55.779503;Новослободская;Кольцевая линия;4;4;
239;Новоясеневская, вход-выход 2 в северный вестибюль;37.552851;55.601509;Новоясеневская;Калужско-Рижская линия;4;4;
238;Новоясеневская, вход-выход 1 в северный вестибюль;37.5528887;55.6019926;Новоясеневская;Калужско-Рижская линия;4;4;
285;Новые Черёмушки, вход-выход 1 в южный вестибюль;37.5536016;55.6696118;Новые Черёмушки;Калужско-Рижская линия;3;3;
286;Новые Черёмушки, вход-выход 2 в южный вестибюль;37.5541228;55.6694298;Новые Черёмушки;Калужско-Рижская линия;3;3;
810;Октябрьское поле, вход-выход 4 в 1-й вестибюль;37.494672;55.7927107;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
807;Октябрьское поле, вход-выход 1 в 1-й вестибюль;37.494715;55.7930327;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
808;Октябрьское поле, вход-выход 2 в 1-й вестибюль;37.4949407;55.7929182;Октябрьское поле;Таганско-Краснопресненская линия;5;5;
174;Орехово, вход в южный вестибюль;37.695852;55.612207;Орехово;Замоскворецкая линия;4;4;
310;Ленинский проспект, вход в северный вестибюль;37.5874891;55.7084099;Ленинский проспект;Калужско-Рижская линия;2;2;
672;Лубянка, вход-выход 1 в северный вестибюль;37.6261416;55.7590119;Лубянка;Сокольническая линия;5;5;
673;Лубянка, вход-выход 2 в северный вестибюль;37.6264345;55.7588185;Лубянка;Сокольническая линия;5;5;
674;Лубянка, вход-выход 3 в северный вестибюль;37.6271876;55.7589691;Лубянка;Сокольническая линия;5;5;
675;Лубянка, вход-выход 4 в северный вестибюль;37.6281027;55.759298;Лубянка;Сокольническая линия;5;5;
678;Лубянка, вход-выход 7 в северный вестибюль;37.6280056;55.7600076;Лубянка;Сокольническая линия;5;5;
677;Лубянка, вход-выход 6 в северный вестибюль;37.6284663;55.7596192;Лубянка;Сокольническая линия;5;5;
679;Лубянка, вход-выход 8 в северный вестибюль;37.628384;55.759958;Лубянка;Сокольническая линия;5;5;
670;Лубянка, вход в южный вестибюль;37.6257502;55.7590701;Лубянка;Сокольническая линия;5;5;
449;Люблино, вход-выход в южный вестибюль;37.7610191;55.674484;Люблино;Люблинско-Дмитровская линия;5;5;
451;Люблино, вход-выход 2 в северный вестибюль;37.7618126;55.6767171;Люблино;Люблинско-Дмитровская линия;5;5;
676;Лубянка, вход-выход 5 в северный вестибюль;37.6283278;55.7593986;Лубянка;Сокольническая линия;5;5;
450;Люблино, вход-выход 1 в северный вестибюль;37.7618992;55.6770532;Люблино;Люблинско-Дмитровская линия;5;5;
452;Люблино, вход-выход 3 в северный вестибюль;37.7621184;55.6771029;Люблино;Люблинско-Дмитровская линия;5;5;
453;Люблино, вход-выход 4 в северный вестибюль;37.7627843;55.677062;Люблино;Люблинско-Дмитровская линия;5;5;
454;Люблино, вход-выход 5 в северный вестибюль;37.7629313;55.6769211;Люблино;Люблинско-Дмитровская линия;5;5;
199;Марксистская, вход-выход 2 в вестибюль;37.656423;55.7406722;Марксистская;Калининская линия;5;5;
198;Марксистская, вход-выход 1 в вестибюль;37.6567019;55.7411071;Марксистская;Калининская линия;5;5;
487;Марьина роща, вход-выход 3 в южный вестибюль;37.6168452;55.7935291;Марьина роща;Люблинско-Дмитровская линия;4;4;
485;Марьина роща, вход-выход 1 в южный вестибюль;37.6159225;55.7935652;Марьина роща;Люблинско-Дмитровская линия;4;4;
488;Марьина роща, вход-выход в северный вестибюль;37.6169578;55.7971408;Марьина роща;Люблинско-Дмитровская линия;2;2;
440;Марьино, вход-выход 2 в северный вестибюль;37.743716;55.651296;Марьино;Люблинско-Дмитровская линия;5;5;
441;Марьино, вход-выход 3 в северный вестибюль;37.7438447;55.6510084;Марьино;Люблинско-Дмитровская линия;5;5;
435;Марьино, вход-выход 1 в южный вестибюль;37.7438608;55.6491637;Марьино;Люблинско-Дмитровская линия;5;5;
438;Марьино, вход-выход 4 в южный вестибюль;37.7439623;55.6489065;Марьино;Люблинско-Дмитровская линия;5;5;
436;Марьино, вход-выход 2 в южный вестибюль;37.744483;55.649279;Марьино;Люблинско-Дмитровская линия;5;5;
437;Марьино, вход-выход 3 в южный вестибюль;37.744606;55.648937;Марьино;Люблинско-Дмитровская линия;5;5;
779;Кузнецкий мост, вход в вестибюль;37.6241745;55.7616171;Кузнецкий мост;Таганско-Краснопресненская линия;4;4;
741;Кузьминки, вход-выход 3 в западный вестибюль;37.763751;55.705308;Кузьминки;Таганско-Краснопресненская линия;3;3;
740;Кузьминки, вход-выход 2 в западный вестибюль;37.7640246;55.7060321;Кузьминки;Таганско-Краснопресненская линия;3;3;
738;Кузьминки, вход-выход 4 в восточный вестибюль;37.767415;55.704826;Кузьминки;Таганско-Краснопресненская линия;5;5;
735;Кузьминки, вход-выход 1 в восточный вестибюль;37.767726;55.705532;Кузьминки;Таганско-Краснопресненская линия;5;5;
43;Кунцевская, вход-выход 1 в западный вестибюль;37.445477;55.730675;Кунцевская;Филёвская линия;3;3;
46;Кунцевская, вход-выход 2 в восточный вестибюль;37.446469;55.73082;Кунцевская;Филёвская линия;5;5;
44;Кунцевская, вход-выход 2 в западный вестибюль;37.445568;55.730541;Кунцевская;Арбатско-Покровская линия;3;3;
45;Кунцевская, вход-выход 1 в восточный вестибюль;37.446528;55.730666;Кунцевская;Арбатско-Покровская линия;5;5;
66;Курская, вход-выход в вестибюль;37.658992;55.758613;Курская;Арбатско-Покровская линия;4;4;
416;Курская, вход-выход 2 в вестибюль;37.6601558;55.7585107;Курская;Кольцевая линия;7;7;
415;Курская, вход-выход 1 в вестибюль с Курского вокзала;37.660164;55.757855;Курская;Кольцевая линия;6;6;
418;Курская, вход 1 в вестибюль;37.6599122;55.7561757;Курская;Кольцевая линия;9;9;
843;Кутузовская, вход-выход в южный вестибюль;37.5347739;55.7394196;Кутузовская;Филёвская линия;2;2;
